Maker_ID,Inst_code,Inst_name,Inst_ID,Advertised_Instrument_Notes,Inst_name_original
551,1,air pump,8,,"air pump,"
568,1,air pump,8,,"air pump,"
696,1,air pump,8,,"air pump,"
714,1,air pump,8,,"air pump,"
29,1,air pump,8,,"air pump,"
54,1,air pump,8,,"air pump,"
166,1,air pump,8,,"air pump,"
182,1,air pump,8,,"air pump,"
192,1,air pump,8,,"air pump,"
291,1,air pump,8,,air pump
316,1,air pump,8,,"air pump,"
331,1,air pump,8,,"air pump,"
347,1,air pump,8,,"air pump,"
359,1,air pump,8,,"air pump,"
426,1,air pump,8,,"air pump,"
438,1,air pump,8,,"air pump,"
439,1,air pump,8,,"air pump,"
507,1,air pump,8,,air pump
547,1,air pump,8,,"air pump,"
770,1,air pump,8,,"air pump,"
944,1,air pump,8,,"air pump,"
1364,1,air pump,8,,"air pump,"
1528,1,air pump,8,,"air pump,"
1529,1,air pump,8,,"air pump,"
1530,1,air pump,8,,"air pump,"
1531,1,air pump,8,,"air pump,"
1532,1,air pump,8,,"air pump,"
1945,1,air pump,8,,"air pump,"
2076,1,air pump,8,,"air pump,"
2233,1,air pump,8,,air pump
2814,1,air pump,8,,"air pump,"
2885,1,air pump,8,,"aAr pump,"
4880,1,air pump,8,,"air pump,"
2880,1,air pump,8,,"air pump,"
550,1,document,210,,"vacuums,"
550,1,air pump,8,,"air-pumps,"
424,1,air pump,8,,air pumps
9026,1,air pump,8,,"air pump,"
289,1,air pump,8,,"air pump,"
289,1,"engine, pneumatic",244,,pneumatic engines
237,1,air pump,8,,"air pumps,"
3518,1,pneumatic apparatus,539,,pneumetic app
7117,1,air pump,8,,air pumps
74,2,alidade,11,,"alidade,"
1215,3,anemometer,17,,"anemometer,"
4268,3,air flow meter,5,,"air flow meter,"
7166,3,anemometer,17,,"anemometers,"
2880,3,"anemometer, Biram's",18,,Biram's anemometer
8879,3,anemometer,17,,"anemometers,"
550,3,anemometer,17,,"wind gauges,"
8703,3,anemometer,17,,"anemometers,"
8703,3,air flow meter,5,,"air meters,"
9165,3,anemometer,17,,anemometer
4268,3,anemometer,17,,"anemometers,"
7819,3,air flow meter,5,,"air-meters,"
550,4,armillary sphere,20,,"armillary sphere,"
279,4,armillary sphere,20,,"armillary sphere,"
127,4,armillary sphere,20,,"armillary sphere,"
166,4,armillary sphere,20,,"armillary sphere,"
192,4,armillary sphere,20,,"armillary sphere,"
