relation_id,target_maker_id,is_auto_disambiguation
13654,4878,
19284,9197,
16137,6468,
14380,1997,
7711,10307,
13416,4676,
4365,2609,
12786,4371,
5545,4221,
2223,137,
12157,3237,
13884,4733,
1837,833,
18647,8813,
20773,10198,
13050,4490,
13998,5153,
16213,6495,
2695,3347,
19444,6726,
5966,1725,
5528,3760,
14789,4414,
20768,10199,
14755,5516,
20824,5643,
17467,3150,
5674,4150,
13369,4638,
15120,3014,
4441,1053,
20838,7987,
11187,9433,
214,1016,
12773,4381,
15155,4550,
6789,3470,
20867,9880,
17917,8209,
14031,5162,
6058,1749,
20656,10106,1
6575,3185,
19097,8004,
13524,6392,
3416,1343,
18905,8961,
5414,1390,
16390,6619,
2612,1716,
14090,6637,
9534,166,
16123,6418,
3280,720,
16245,4840,
11267,3615,
9014,408,
16557,188,
3237,5794,
639,4741,1
10010,8591,
8550,2560,
16909,7155,
12017,1852,
19395,9256,
5225,726,
3083,696,
15724,8335,
1995,5744,
13114,1716,
6654,2215,
17375,3129,
3857,502,
7174,1888,
6882,4776,
18432,8667,
3106,5775,
7845,4509,
11394,3658,
18102,8357,
12640,4286,
17075,5615,
10673,1728,
2346,945,
2947,1867,
2472,544,
3448,589,
8355,2530,
631,641,
18782,477,
8626,2487,
3349,1920,
13079,638,
4197,928,
4591,8937,
3017,827,
2685,2516,
10536,346,
9477,851,
1961,741,
3272,721,
2011,502,
19058,4094,
15553,10328,
20123,4159,
20445,4956,
1898,1306,
12125,1240,
13071,4484,
13356,2481,
3531,9831,
5908,4631,
9548,3382,
2110,5838,
5996,1904,
7086,325,
8119,5432,
203,696,
10666,8906,
9914,8608,
4640,1842,
2232,676,
10903,3463,
4574,1149,
19793,9423,
3540,764,
5821,2685,
6539,1917,
18482,4824,
2140,1602,
4005,1646,
15340,3453,
14723,704,
13826,4978,
9549,1391,
4366,605,
7718,9955,
17468,529,
13419,6181,
2224,79,
1838,436,
19285,3170,
12787,3825,
12158,8208,
13051,1987,
16309,6560,
16171,6469,
13939,2127,
2439,897,
18671,8847,
16935,3694,
5609,1506,
2016,37,
8582,5793,
14003,6999,
16214,4827,
235,8639,
20769,9997,
2696,749,
19446,9268,
6790,5431,
20825,4239,
14790,795,
4442,2836,
6576,2239,
5415,2868,
13432,6194,
20420,9495,1
20839,9940,
2615,4600,
20868,10388,
10011,8590,
15197,10516,
18013,8291,
7175,2156,
14263,430,
11188,2769,
6883,1090,
18906,5869,
6059,2394,
13326,7757,
10676,3439,
16537,6766,
16133,4786,
15347,3148,
19335,2201,
7108,829,
11268,3614,
13525,4648,
14091,4131,
10107,8706,
16558,7596,
17024,7283,
18629,5736,
9537,4041,
3281,719,
9420,2836,
12018,6416,
15267,4790,
558,162,1
16070,6368,
10161,1000,
3238,9179,
15341,2467,
8572,2442,
1686,1363,1
8865,309,
19415,8890,
1996,5745,
6655,1952,
13138,5409,
5589,1488,
9851,266,
17699,7971,
3863,1544,
633,377,
11395,3660,
18732,935,
12641,9378,
17104,7102,
18347,1555,
3031,169,
2948,1485,
2480,37,
3450,8953,
8362,2521,
6225,1799,
8627,1755,
3352,728,
4630,1134,
5099,168,
3200,545,
2687,603,
10537,1921,
1965,431,
3273,507,
7846,4498,
20446,9992,
19696,2331,
15692,10476,
20124,4674,
2619,50,
12126,9308,
4423,1165,
13073,1893,
15760,407,
14506,4403,
3532,760,
5909,432,
204,2008,
7220,2178,
5997,2700,
10389,1740,
4411,1303,
10669,1728,
8381,325,
4641,2058,
7433,1355,
10905,3946,
4575,1119,
1869,826,
3541,763,
5822,5207,
6540,1600,
12978,4473,
2142,1647,
4006,1645,
9094,1700,
19723,5524,
13827,5081,
5673,1040,
16403,3878,
11288,3837,
16296,7984,
16956,7213,
6252,4772,
4367,5243,
5612,3294,
