guild_id,name
1,Armourers
2,Barbers
3,Blacksmiths
4,Brasiers
5,Brewers
6,Bricklayers
7,Broderers
8,Butchers
9,Clockmakers
10,Clothmakers
11,Clothworkers
12,Coach Harness Makers
13,Coachmakers
14,Coopers
15,Cordwainers
16,Cutlers
17,Drapers
18,Dyers
19,Fanmakers
20,Farriers
21,Feltmakers
22,Fishmongers
23,Fletchers
24,Founders
25,Girdlers
26,Glaziers
27,Glovers
28,Goldsmiths
29,Grocers
30,Gunmakers
31,Haberdashers
32,Hammermen
33,Innholders
34,Ironmongers
35,Joiners
36,Leathersellers
37,Loriners
38,Makers of Playing Cards
39,Masons
40,Merchant Taylors
41,Musicians
42,Needlemakers
43,Pattenmakers
44,Pewterers
45,Plumbers
46,Salters
47,Shipwrights
48,Skinners
49,Spectaclemakers
50,Stationers
51,Surgeons
52,Tallow Chandlers
53,Tilers
54,Tinplate Workers
55,Turners
56,Vintners
57,Weavers
58,Woodmongers
