maker_id,inst_code,inst_name,id
547,125,"telescope,",1
547,127,"theodolite,",2
547,128,"thermometer,",3
547,133,"waywiser,",4
547,163,mechanical apparatus,5
550,4,"armillary sphere,",6
550,25,"camera obscura,",7
550,45,"globe,",8
550,66,"microscope,",9
550,69,"magic lantern,",10
550,85,"planetarium,",11
550,100,full range of instruments,12
550,105,"sextant,",13
550,114,"spectacles,",14
550,125,telescope,15
551,1,"air pump,",16
551,20,"barometer,",17
551,25,"camera obscura,",18
551,27,"circumferentor,",19
551,39,"drawing instruments,",20
551,42,"electrostatic generator,",21
551,45,"globe,",22
551,56,"hygrometer,",23
551,66,"microscope,",24
551,69,"magic lantern,",25
551,71,"magnifying glass,",26
551,78,"opera glasses,",27
551,80,"pantograph,",28
551,85,"planetarium,",29
551,86,"plane table,",30
551,88,"mirror,",31
551,93,"prism,",32
551,96,"quadrant,",33
551,100,"full range instruments,",34
551,101,"rule,",35
551,104,"sector,",36
551,111,"sundial,",37
551,114,"spectacles,",38
551,125,"telescope,",39
551,127,"theodolite,",40
551,128,"thermometer,",41
551,131,"transit instrument,",42
551,133,waywiser,43
553,,"",44
554,105,sextant,45
556,26,chronometer,46
557,26,chronometer,47
565,29,"compass,",48
565,96,"quadrant,",49
565,105,"sextant,",50
565,123,"octant,",51
565,125,telescope,52
566,15,"balance,",53
566,54,"hydrometer,",54
566,64,"measure (capacity),",55
566,134,weights,56
567,45,globe,57
568,1,"air pump,",58
568,5,"artificial horizon,",59
568,13,"air fountain,",60
568,15,"balance,",61
568,18,"burning glass,",62
568,20,"barometer,",63
568,25,"camera obscura,",64
568,27,"circumferentor,",65
568,29,"compass,",66
568,36,"dip circle,",67
568,39,"drawing instruments,",68
568,42,"electrostatic generator,",69
568,45,"globe,",70
568,48,"magnet,",71
568,56,"hygrometer,",72
568,66,"microscope,",73
568,69,"magic lantern,",74
568,71,"magnifying glass,",75
568,78,"opera glasses,",76
568,80,"pantograph,",77
568,85,"planetarium,",78
568,86,"plane table,",79
568,88,"mirror,",80
568,93,"prism,",81
568,96,"quadrant,",82
568,98,"gunner's quadrant,",83
568,105,"sextant,",84
568,106,"scioptic ball,",85
568,110,"stereoscope,",86
568,111,"sundial,",87
568,112,"surveyor's chain,",88
568,113,"surveyor's cross,",89
568,114,"spectacles,",90
568,115,"spirit level,",91
568,125,"telescope,",92
568,127,"theodolite,",93
568,128,"thermometer,",94
568,131,"transit instrument,",95
568,133,"waywiser,",96
568,135,"zenith instrument,",97
568,136,"gunner's callipers,",98
568,142,"model - philosophical,",99
568,146,"electrometer,",100
568,147,"protractor,",101
568,148,"pyrometer,",102
568,152,"battery,",103
568,163,"mechanical apparatus,",104
568,168,"eudiometer,",105
568,176,atwood's machine,106
580,,"",107
589,29,"compass (magnetic),",108
589,45,"globe,",109
589,61,"lodestone,",110
589,96,"quadrant,",111
589,101,"rule,",112
589,105,"sextant,",113
589,111,"sundial,",114
589,123,"octant,",115
589,125,"telescope,",116
595,29,"compass,",117
595,96,quadrant,118
601,101,rule,119
609,114,spectacles,120
610,66,"microscope,",121
610,106,"scioptic ball,",122
610,125,telescope,123
613,125,telescope,124
621,20,"barometer,",125
621,25,"camera obscura,",126
621,66,"microscope,",127
621,69,"magic lantern,",128
621,71,"magnifying glass,",129
621,93,"prism,",130
621,106,"scioptic ball,",131
621,114,"spectacles,",132
621,125,"telescope,",133
621,128,thermometer,134
628,101,"rule,",135
628,104,"sector,",136
628,107,slide rule,137
638,29,"compass,",138
638,96,quadrant,139
641,29,"compasses,",140
641,45,"globes,",141
641,96,quadrants,142
642,105,"sextant,",143
645,107,slide rule,144
649,15,balance,145
651,20,barometer,146
653,111,sundial,147
658,101,rule,148
661,20,"barometer,",149
661,25,"camera obscura,",150
661,66,"microscope,",151
661,69,"magic lantern,",152
661,71,"magnifying glass,",153
661,78,"opera glasses,",154
661,88,"mirror,",155
661,93,"prism,",156
661,110,"stereoscope,",157
661,114,"spectacles,",158
661,125,"telescope,",159
661,128,thermometer,160
674,200,"mathematical instruments,",161
674,201,optical instruments,162
676,54,hydrometer,163
678,54,"hydrometer,",164
681,20,barometer,165
683,63,lenses,166
687,29,compass,167
690,101,rule,168
693,45,"globe,",169
693,200,maths inst,170
696,1,"air pump,",171
696,13,"air fountain,",172
696,14,"back-staff,",173
696,15,"balance,",174
696,18,"burning glass,",175
696,20,"barometer,",176
696,25,"camera obscura,",177
696,27,"circumferentor,",178
696,29,"compass,",179
696,39,"drawing instruments,",180
696,42,"electrostatic generator,",181
696,45,"globe,",182
696,54,"hydrometer,",183
696,56,"hygrometer,",184
696,61,"lodestone,",185
696,66,"microscope,",186
696,69,"magic lantern,",187
696,71,"magnifying glass,",188
696,73,"nocturnal,",189
696,78,"opera glasses,",190
696,86,"plane table,",191
696,88,"mirror,",192
696,93,"prism,",193
696,101,"rule,",194
696,75,Hadley's quadrant,195
696,106,"scioptic ball,",196
696,39,"prop compasses,",197
696,111,"sundial,",198
696,114,"spectacles,",199
696,115,"spirit level,",200
696,125,"telescope,",201
696,127,"theodolite,",202
696,128,"thermometer,",203
696,133,waywiser,204
701,18,"burning glass,",205
701,71,"magnifying glass,",206
701,162,multiplying glass,207
703,45,globe,208
706,15,"balance,",209
706,134,"weights,",210
706,175,steelyard,211
709,15,"balance,",212
709,20,"barometer,",213
709,29,"compass,",214
709,44,"fore-staff,",215
709,56,"hygrometer,",216
709,96,"quadrant,",217
709,101,"rule,",218
709,107,"slide rule,",219
709,134,weights,220
714,1,"air pump,",221
714,14,"back-staff,",222
714,15,"balance,",223
714,20,"barometer,",224
714,25,"camera obscura,",225
714,27,"circumferentor,",226
714,29,"compass,",227
714,39,"drawing instruments,",228
714,42,"electrostatic generator,",229
714,45,"globe,",230
714,48,"magnet,",231
714,54,"hydrometer,",232
714,66,"microscope,",233
714,69,"magic lantern,",234
