maker_id,inst_code,inst_name,id
411,128,"thermometer, attributed to John but probably by Matthew Berge",1
4769,20,barometer,2
4773,20,barometer,3
795,179,weather recorder,4
8643,169,"",5
8644,20,barometer,6
566,101,longitude scale,7
566,15,coin balance,8
566,111,sundial,9
566,66,microscope,10
2237,29,compass,11
8654,,"",12
8654,,"",13
328,,"",14
6039,99,binocular eyepiece for microscope,15
8673,40,barograph,16
4250,123,"octant,",17
8676,20,barometer,18
8677,20,barometer,19
8678,20,barometer,20
8679,20,barometer,21
8680,111,sundial,22
6570,40,"barograph,",23
935,29,"compasses (marine),",24
935,105,sextant,25
935,111,"dipleidoscope,",26
1321,128,thermometer,27
8684,39,compasses (drawing),28
4275,125,"telescope,",29
8688,20,barometer,30
8689,15,balance,31
566,85,orrery,32
6994,66,microscope,33
7032,20,barometer,34
442,80,pantograph,35
8696,29,compass,36
8697,26,chronometers,37
8699,42,induction coil,38
8699,225,Kymograph,39
8699,226,dotting instrument,40
8699,227,ergograph,41
286,51,Gunners level,42
286,41,mechanical equireoctial dial,43
286,39,drawing instruments,44
286,15,balance,45
286,175,steelyard,46
286,134,weights,47
8700,20,barometer,48
8700,128,thermometer,49
8701,20,barometer,50
1417,60,"level,",51
4268,20,barometer (aneroid),52
1537,,"",53
8705,20,barometer (aneroid),54
5783,20,barometer,55
8706,20,barometer,56
8707,20,barometer,57
894,20,"barometer,",58
894,128,"thermometer,",59
894,56,"hygrometer,",60
8708,45,moon globe,61
4114,26,"chronometer,",62
8709,105,sextant,63
8710,20,barometer,64
1926,80,"pantograph,",65
1926,20,"barometer,",66
1,20,"barometer,",67
1,29,"compass (magnetic),",68
1,32,"chondrometer,",69
1,39,"drawing instruments,",70
1,66,"microscope,",71
1,104,"sector,",72
1,128,"thermometer,",73
3,66,microscope,74
4,20,"barometer,",75
4,66,"microscope,",76
4,42,"electrical machine,",77
5,66,"microscope,",78
5,125,telescope,79
6,96,quadrant,80
7,125,telescope,81
9,27,circumferentor,82
10,14,back-staff,83
12,15,"balance,",84
12,56,"hygrometer,",85
12,128,thermometer,86
14,66,microscope,87
15,105,"sextant,",88
15,128,thermometer,89
16,66,microscope,90
17,29,"compass (magnetic),",91
17,43,"ellipsograph,",92
17,67,"marine astrolabe,",93
17,68,"mural quadrant,",94
