Maker_ID,Inst_code,Inst_name,Inst_ID,Known_Instrument_Notes,Inst_name_original
411,128,thermometer,741,"Thermometer, attributed to John but probably by Matthew Berge","thermometer, attributed to John but probably by Matthew Berge"
4769,20,barometer,50,,barometer
4773,20,barometer,50,,barometer
795,179,weather recorder,772,,weather recorder
8643,169,gunner's mouthpiece,311,,weather recorder
8644,20,barometer,50,,barometer
566,101,longitude scale,387,,longitude scale
566,15,"balance, coin",36,,coin balance
566,111,sundial,669,,sundial
566,66,microscope,429,,microscope
2237,29,compass,152,,compass
6039,99,binocular eyepiece for microscope,72,,binocular eyepiece for microscope
8673,40,barograph,49,,barograph
4250,123,octant,483,,"octant,"
8676,20,barometer,50,,barometer
8677,20,barometer,50,,barometer
8678,20,barometer,50,,barometer
8679,20,barometer,50,,barometer
8680,111,sundial,669,,sundial
6570,40,barograph,49,,"barograph,"
935,29,"compass, mariner's",165,,"compasses (marine),"
935,105,sextant,615,,sextant
935,111,dipleidoscope,204,,"dipleidoscope,"
1321,128,thermometer,741,,thermometer
8684,39,"compass, drafting",158,,compasses (drawing)
4275,125,telescope,715,,"telescope,"
8688,20,barometer,50,,barometer
8689,15,balance,32,,balance
566,85,orrery,496,,orrery
6994,66,microscope,429,,microscope
7032,20,barometer,50,,barometer
442,80,pantograph,499,,pantograph
8696,29,compass,152,,compass
8697,26,chronometer,121,,chronometers
8699,42,induction coil,348,,induction coil
8699,225,kymograph,353,,Kymograph
8699,226,dotting instrument,211,,dotting instrument
8699,227,ergograph,250,,ergograph
286,51,"level, gunner's",376,,Gunners level
286,41,"sundial, mechanical dial",682,,mechanical equireoctial dial
286,39,drawing instrument,212,,drawing instruments
286,15,balance,32,,balance
286,175,steelyard,658,,steelyard
286,134,weight,776,,weights
8700,20,barometer,50,,barometer
8700,128,thermometer,741,,thermometer
8701,20,barometer,50,,barometer
1417,60,level,370,,"level,"
4268,20,"barometer, aneroid",51,,barometer (aneroid)
8705,20,"barometer, aneroid",51,,barometer (aneroid)
5783,20,barometer,50,,barometer
8706,20,barometer,50,,barometer
8707,20,barometer,50,,barometer
894,20,barometer,50,,"barometer,"
894,128,thermometer,741,,"thermometer,"
894,56,hygrometer,343,,"hygrometer,"
8708,45,"globe, lunar",299,,moon globe
4114,26,chronometer,121,,"chronometer,"
8709,105,sextant,615,,sextant
8710,20,barometer,50,,barometer
1926,80,pantograph,499,,"pantograph,"
1926,20,barometer,50,,"barometer,"
1,20,barometer,50,,"barometer,"
1,29,"compass, magnetic",163,,"compass (magnetic),"
1,32,chondrometer,119,,"chondrometer,"
1,39,drawing instrument,212,,"drawing instruments,"
1,66,microscope,429,,"microscope,"
1,104,sector,609,,"sector,"
1,128,thermometer,741,,"thermometer,"
3,66,microscope,429,,microscope
4,20,barometer,50,,"barometer,"
4,66,microscope,429,,"microscope,"
4,42,electrical machine,221,,"electrical machine,"
5,66,microscope,429,,"microscope,"
5,125,telescope,715,,telescope
6,96,quadrant,572,,quadrant
7,125,telescope,715,,telescope
9,27,circumferentor,133,,circumferentor
10,14,backstaff,31,,back-staff
12,15,balance,32,,"balance,"
12,56,hygrometer,343,,"hygrometer,"
12,128,thermometer,741,,thermometer
14,66,microscope,429,,microscope
15,105,sextant,615,,"sextant,"
15,128,thermometer,741,,thermometer
16,66,microscope,429,,microscope
17,29,"compass, magnetic",163,,"compass (magnetic),"
17,43,ellipsograph,239,,"ellipsograph,"
17,67,"astrolabe, mariner's",24,,"marine astrolabe,"
17,68,"quadrant, mural",580,,"mural quadrant,"
17,101,rule,593,,"rule,"
17,104,sector,609,,"sector,"
17,111,sundial,669,,"sundial,"
17,205,armillary sphere,20,,armillary dial
18,22,calculating machine,84,,"calculating machine,"
18,96,quadrant,572,,quadrant
19,14,backstaff,31,,back staff
21,20,barometer,50,,barometer
28,20,barometer,50,,barometer
28,128,thermometer,741,,thermometer
29,15,balance,32,,balance
30,63,lens,362,,lens
34,105,"sextant, surveying",619,,sextant - surveying
37,27,circumferentor,133,,circumferentor
38,20,barometer,50,,barometer
39,20,barometer,50,,barometer
41,20,"barometer, marine",58,,barometer (marine)
43,20,barometer,50,,"barometer,"
43,128,thermometer,741,,thermometer
45,2,alidade,11,,"alidade,"
45,28,clinometer,135,,"clinometer,"
45,60,level,370,,"level,"
45,86,plane table,532,,"plane table,"
45,96,quadrant,572,,"quadrant,"
45,101,rule,593,,"rule,"
45,104,sector,609,,"sector,"
45,111,sundial,669,,"sundial,"
45,147,protractor,560,,protractor
46,18,burning glass,82,,burning glass
47,32,chondrometer,119,,chondrometer
48,92,"calendar, perpetual",89,,perpetual calendar
49,14,backstaff,31,,"back-staff,"
49,72,Napier's bones,477,,Napier's bones
50,20,barometer,50,,"barometer,"
50,45,globe,294,,"globe,"
50,66,microscope,429,,"microscope,"
50,128,thermometer,741,,thermometer
51,20,barometer,50,,barometer
55,55,hydrostatic bubble,340,,hydrostatic bubbles
56,101,rule,593,,rule
57,73,nocturnal,481,,nocturnal
58,14,backstaff,31,,back-staff
60,20,barometer,50,,"barometer,"
60,60,level,370,,"level,"
60,112,surveyor's chain,695,,"surveyor's chain,"
60,125,telescope,715,,"telescope,"
60,127,theodolite,734,,"theodolite,"
