Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info

M-1,"Makers ref: 1 | Surname: ABRAHAM | First name: Abraham | Alt name: | Date 1 qual: w | Date 1: 1818 | Date 2 qual: w | Date 2: 1850 | Misc info 1: e 1817 | Misc info 2: | Misc info 3: PO | Misc info 4: | Guild: n | Mig town: V | Count stat: y | Adv trade 1: Optician, Math IM, Phil IM | Adv trade 2:",Person,Maker,,,,Abraham,Abraham,,,Abraham Abraham,,,,,,,,,,e 1817 | PO

M-2,Makers ref: 2 | Surname: BERRICK | First name: Ralph | Alt name: | Date 1 qual: w | Date 1: 1770 | Date 2 qual: w | Date 2: 1770 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: W | Count stat: y | Adv trade 1: Rule M | Adv trade 2:,Person,Maker,,,,Berrick,Ralph,,,Ralph Berrick,,,,,,,,,,

M-3,"Makers ref: 3 | Surname: FIELD | First name: John | Alt name: | Date 1 qual: w | Date 1: 1790 | Date 2 qual: w | Date 2: 1803 | Misc info 1: At the Mint 1804-31; Master SMC 1799-1801, 1820-22; designed new bullion balances for the Mint 1820 | Misc info 2: b.c.1765 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1787 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Optician, Phil IM | Adv trade 2:",Person,Maker,,,,Field,John,,,John Field,,,,,,,,,,"At the Mint 1804-31; Master SMC 1799-1801, 1820-22; designed new bullion balances for the Mint 1820 | b.c.1765 | Spectaclemakers, fr 1787"

M-4,"Makers ref: 4 | Surname: VEITCH | First name: James | Alt name: | Date 1 qual: w | Date 1: 1811 | Date 2 qual: w | Date 2: 1834 | Misc info 1: b 1771, d 1838; friend of David Brewster, for whom | Misc info 2: he made lenses; educated at Mr.Clark's school, Jedburgh; left school at 12 but continued to study in his spare time, especially mathematics & astronomy. | Misc info 3: | Misc info 4: | Guild: n | Mig town: C | Count stat: y | Adv trade 1: Telescope M, Inspector of Weights & Measures, previously ploughwright | Adv trade 2:",Person,Maker,,,,Veitch,James,,,James Veitch,,,,,,,,,,"b 1771, d 1838; friend of David Brewster, for whom | he made lenses; educated at Mr.Clark's school, Jedburgh; left school at 12 but continued to study in his spare time, especially mathematics & astronomy."

M-5,"Makers ref: 5 | Surname: SCARLETT | First name: Edward (I) | Alt name: | Date 1 qual: w | Date 1: 1705 | Date 2 qual: w | Date 2: 1705 | Misc info 1: Inv. temple spectacles; R.apt Geo.II 1727; | Misc info 2: Master SMC 1720-1722. d 1743 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1705 | Mig town: L | Count stat: y | Adv trade 1: Optician, Spec M | Adv trade 2:",Person,Maker,,,,Scarlett,Edward,,I,Edward Scarlett,,https://www.wikidata.org/wiki/Q1293528,,,,,,,,"Inv. temple spectacles; R.apt Geo.II 1727; | Master SMC 1720-1722. d 1743 | Spectaclemakers, fr 1705"

M-6,Makers ref: 6 | Surname: J.B. | First name: - | Alt name: | Date 1 qual: a | Date 1: 1700 | Date 2 qual: a | Date 2: 1800 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,J.B.,,,,,J.B.,,,,,,,,,,

M-7,Makers ref: 7 | Surname: MANN & AYSCOUGH | First name: James & James | Alt name: | Date 1 qual: w | Date 1: 1743 | Date 2 qual: w | Date 2: 1747 | Misc info 1: Publishers | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: y | Adv trade 1: Opticians | Adv trade 2:,Organisation,Maker,James & James Mann & Ayscough,,,,,,,James & James Mann & Ayscough,,,,,,,,,,Publishers

M-8,"Makers ref: 8 | Surname: MANN | First name: John (I) | Alt name: | Date 1 qual: w | Date 1: 1694 | Date 2 qual: w | Date 2: 1709 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Mathematician, Math IM | Adv trade 2:",Person,Maker,,,,Mann,John,,I,John Mann,,,,,,,,,,

M-9,"Makers ref: 9 | Surname: CULMER & TENNANT | First name: J & George | Alt name: | Date 1 qual: w | Date 1: 1811 | Date 2 qual: w | Date 2: 1811 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: y | Adv trade 1: Ship chandler, Math IM | Adv trade 2:",Organisation,Maker,J & George Culmer & Tennant,,,,,,,J & George Culmer & Tennant,,,,,,,,,,

M-10,"Makers ref: 10 | Surname: GILBERT | First name: John (I) | Alt name: | Date 1 qual: w | Date 1: 1718 | Date 2 qual: w | Date 2: 1749 | Misc info 1: Partnership 1749; d 1750; Clerk at the Meeting House,Slaters Hall for nearly 40 years (?Quaker) | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Grocers fr 1716/17 | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:",Person,Maker,,,,Gilbert,John,,I,John Gilbert,,,,,,,,,,"Partnership 1749; d 1750; Clerk at the Meeting House,Slaters Hall for nearly 40 years (?Quaker) | Grocers fr 1716/17"

M-11,Makers ref: 11 | Surname: WALKER | First name: | Alt name: | Date 1 qual: a | Date 1: 1800 | Date 2 qual: a | Date 2: 1900 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: C | Count stat: y | Adv trade 1: Baro M | Adv trade 2:,Person,Maker,,,,Walker,,,,Walker,,,,,,,,,,

M-12,"Makers ref: 12 | Surname: SMITH | First name: Addison | Alt name: | Date 1 qual: w | Date 1: 1769 | Date 2 qual: w | Date 2: 1789 | Misc info 1: Pat.1783 spectacles No.1359  Partnership 1763-68; d.1795. | Misc info 2: Petitioner against Dollond's patent 1764 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1763 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Optical IM, Phil IM | Adv trade 2:",Person,Maker,,,,Smith,Addison,,,Addison Smith,,,,,,,,,,"Pat.1783 spectacles No.1359 Partnership 1763-68; d.1795. | Petitioner against Dollond's patent 1764 | Spectaclemakers, fr 1763"

M-13,Makers ref: 13 | Surname: LEA & GLYNNE | First name: Anne & Richard | Alt name: | Date 1 qual: w | Date 1: 1712 | Date 2 qual: w | Date 2: 1712 | Misc info 1: w c.1720 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: y&w | Adv trade 1: Globe M | Adv trade 2:,Organisation,Maker,Anne & Richard Lea & Glynne,,,,,,,Anne & Richard Lea & Glynne,,,,,,,,,,w c.1720

M-14,Makers ref: 14 | Surname: RICHARDS & SON | First name: | Alt name: | Date 1 qual: w | Date 1: 1832 | Date 2 qual: w | Date 2: 1832 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: y | Adv trade 1: Measure M | Adv trade 2:,Organisation,Maker,Richards & Son,,,,,,,Richards & Son,,,,,,,,,,

M-15,Makers ref: 15 | Surname: HEATH & CO. | First name: | Alt name: | Date 1 qual: w | Date 1: 1883 | Date 2 qual: w | Date 2: 1887 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: y | Adv trade 1: Naut IM | Adv trade 2:,Organisation,Maker,Heath & Co.,,,,,,,Heath & Co.,,https://www.wikidata.org/wiki/Q133269422,,,,,,,,

M-16,Makers ref: 16 | Surname: RAMSEY | First name: Henry T. | Alt name: | Date 1 qual: a | Date 1: 1850 | Date 2 qual: a | Date 2: 1900 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: P | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Ramsey,Henry T.,,,Henry T. Ramsey,,,,,,,,,,

