Simon ID,Street Address,Point ID
9500,"34 Liverpool St, Bishopgate,|London",POINT_000113
6448,"5 Holland St, Blackfriars Rd,|London SE",POINT_000271
8423,"163 New Bond St,|London W",POINT_000353
2064,"9 Lamb's Conduit St, Red Lion Square,|London",POINT_000572
9793,"45 Clerkenwell Green,|London",POINT_000569
9223,"30 Cornhill,|London EC",POINT_000361
5908,"20 Chapel St, Pentonville,|London",POINT_000756
3289,"128 Tottenham Court Rd,|London",POINT_000564
2343,"& 210 Regent St,|London",POINT_000294
4781,"28 Castle St,|Liverpool",POINT_001192
2540,"15 Nicolson St,|Edinburgh",POINT_001708
7514,"216 Rockingham St,|Sheffield",POINT_001231
6658,"14 Kirby St, Hatton Garden,|London EC",POINT_000525
381,"Watling St,|London",POINT_000682
4963,"18B South John St,|Liverpool",POINT_001350
2145,"16 Knightsbridge,|London",POINT_000236
1446,"52 Great Russell St, Bloomsbury,|London",POINT_000472
7250,"222 Regent St,|London W",POINT_000294
2633,"55 Bold St,|Liverpool",POINT_001338
3769,"75 Argyll St,|Glasgow",POINT_001669
314,"The Golden Spectacles the North side of the Royal Exchange,|London",POINT_000363
4613,"39 Hurst St,|Birmingham",POINT_001016
3241,"66 Great Charles St,|Birmingham",POINT_001062
4139,"New John St,|Birminham",POINT_001138
10308,"[Residence] 176 Holland Rd, Kensington,|London",POINT_000970
10418,"98 Fleet St,|London EC",POINT_000378
9629,"30 Cornhill,|London EC",POINT_000361
3551,"43 Rupert St,|London",POINT_000341
525,"140 Fleet St,|London",POINT_000378
9311,"3 Berkley St, St.John's Lane, Clerkenwell,|London",POINT_000287
4259,"112 St.Martin's Lane,|LondonWC",POINT_000323
3093,"13 Store St, Bedford Square,|London",POINT_000507
3200,"86 Brownlow Hill,|Liverpool",POINT_001353
2238,"20 Castle St, Leicester Square,|London",POINT_000912
3025,"50 Brownlow Hill,|Liverpool",POINT_001353
8962,"53 Leadenhall St,|London EC",POINT_000364
4546,"22 Cleveland St,|London W",POINT_000561
8190,"453 Commercial Rd, East,|London",POINT_000094
4184,"East Side Salthouse Dock,|Liverpool",POINT_001318
4391,66 Wapping|London,POINT_000249
3293,"103 Richmond Row,|Liverpool",POINT_001421
1763,"59 St.Martin's le Grand,|London",POINT_000412
9073,"13 Oak St,|Manchester",POINT_001474
10816,"43 Oxford St,|London W",POINT_000473
469,"At the sign of the Dripping Pan near Charing Cross,|London",POINT_000273
9506,"Ball's Pond Rd,|London",POINT_000895
5579,"87 Long Acre,|London WC",POINT_000347
1511,"9 Pembroke Place,|Liverpool",POINT_001385
10501,"93 Oakley St, Lambeth,|London SE",POINT_000112
8913,"Church St,|Liverpool",POINT_001352
9680,"27 Davies St,|London W",POINT_000358
4838,"3 Barbican,|London",POINT_000519
6158,"82 Talbot St,|Sheffield",POINT_001213
3655,"21 Buchanan St,|Glasgow",POINT_001673
3496,"32 Fore St, Limehouse,|London",POINT_000486
9790,"11 Red Lion St, Clerkenwell,|London",POINT_000265
6644,"39 Hoxton Square,|London",POINT_000670
10139,"23 Hanover St, Islington,|London N",POINT_000921
4780,"2 Skinner St,|London",POINT_000631
