maker_id,surname,first_name,Alt_name,Date1_qual,date_1,Date2_qual,date_2,misc_info_1,misc_info_2,misc_info_3,misc_info_4,Guild,Mig_town,Count_stat,Adv_trade1,Adv_trade2
1,ABRAHAM,Abraham,"",w,1818,w,1850,e 1817,"",PO,"",n,V,y,"Optician, Math IM, Phil IM",""
2,BERRICK,Ralph,"",w,1770,w,1770,"","","","",n,W,y,Rule M,""
3,FIELD,John,"",w,1790,w,1803,"At the Mint 1804-31; Master SMC 1799-1801, 1820-22; designed new bullion balances for the Mint 1820",b.c.1765,"","","Spectaclemakers, fr 1787",L,y,"Math IM, Optician, Phil IM",""
4,VEITCH,James,"",w,1811,w,1834,"b 1771, d 1838; friend of David Brewster, for whom","he made lenses; educated at Mr.Clark's school, Jedburgh; left school at 12 but continued to study in his spare time, especially mathematics & astronomy.","","",n,C,y,"Telescope M, Inspector of Weights & Measures, previously ploughwright",""
5,SCARLETT,Edward (I),"",w,1705,w,1705,"Inv. temple spectacles; R.apt Geo.II 1727;",Master SMC 1720-1722. d 1743,"","","Spectaclemakers, fr 1705",L,y,"Optician, Spec M",""
6,J.B.,-,"",a,1700,a,1800,"","","","",n,"",y,"",""
7,MANN & AYSCOUGH,James & James,"",w,1743,w,1747,Publishers,"","","","0",L,y,Opticians,""
8,MANN,John (I),"",w,1694,w,1709,"","","","",n,D,y,"Mathematician, Math IM",""
9,CULMER & TENNANT,J & George,"",w,1811,w,1811,"","","","","0",L,y,"Ship chandler, Math IM",""
10,GILBERT,John (I),"",w,1718,w,1749,"Partnership 1749; d 1750; Clerk at the Meeting House,Slaters Hall for nearly 40 years (?Quaker)","","","",Grocers fr 1716/17,L,y,Math IM,""
11,WALKER,"","",a,1800,a,1900,"","","","",n,C,y,Baro M,""
12,SMITH,Addison,"",w,1769,w,1789,"Pat.1783 spectacles No.1359  Partnership 1763-68; d.1795.",Petitioner against Dollond's patent 1764,"","","Spectaclemakers, fr 1763",L,y,"Math IM, Optical IM, Phil IM",""
13,LEA & GLYNNE,Anne & Richard,"",w,1712,w,1712,"w c.1720","","","","0",L,y&w,Globe M,""
14,RICHARDS & SON,"","",w,1832,w,1832,"","","","","0",L,y,Measure M,""
15,HEATH & CO.,"","",w,1883,w,1887,"","","","","0",L,y,Naut IM,""
16,RAMSEY,Henry T.,"",a,1850,a,1900,"","","","",n,P,y,"",""
17,ALLEN,Elias,ALLIN,w,1607,d,1653,"b.c.1588; fr GC 1612, fr CKC 1633;d 1653;another",Elias ALLEN who carried out surveys for Charles I,was dead by 1637,"","Grocers, Clockmakers",L,y,"Math IM (in brass), Book plate engraver",""
18,SUTTON & KNIBB,Henry & Samuel,Henricus,w,1664,w,1664,Made Morland's calculator,"","","","0",L,y,Math IM,""
19,ATKINSON,James (II),James Atkinson junior,w,1721,w,1729,Taught Navigation & Accounts,"","","",u,L,y,"Math IM, Math Teacher",""
20,ATKINSON,James (I),James ATKINSON Senior,w,1668,w,1717,Editor,"Guild: Clockmakers, fr 1667/8, Joiners? [said to","be free of JC in CKC records, but not traced]","","Clockmakers, Joiners ?",L,y,"Math IM, Maths Teacher",""
21,AYSCOUGH,James,"",w pt,1748,w,1759,"b.c.1718, d 1759; widow, Martha, ran business under husband's name at least until","1766; partnership 1743-47; Master SMC 1752-1753","","","Spectaclemakers, fr 1740",L,y,"Optician, Math IM, Optical IM, Phil IM, Author",""
22,WHITE & WALSH,"","",w,1765,w,1765,"","","","","0",V,y,"Surgeons IM, Math IM",""
23,URINGS,Robert Oulton,Robert Oulding,w,1766,w,1766,"","","","",[Joiners],L-V?,y,Math IM,""
24,BAILEY,William,"BAYLEY, BAYLY",w,1759,w,1794,"MC Livery  1766; owned houses in Hanover St, Rotherhithe, to insured value of £2700","","","","Masons, fr 1756",L,y,"Math IM, Watch Finisher",""
25,BARCLAY,"","",a,1700,a,1700,"","","","",n,D,y,Spec M,""
26,BARCLAY,Hugh,"",w,1727,d,1749,"","","","",n,D,y,"Watch M, Optical IM",""
27,BARCLAY,William,"",w,1731,d,1758,"","","","",n,D,y,Optical IM,""
28,BARELLI & CO.,Joseph,"",a,1800,a,1800,"","","","","0",P,y,"",""
29,BARNETT,Thomas,"",w,1789,w,1810,"Pat.1802 Aerating fluids; said to be in workhouse","1816; b.apt Excise; fr in SMC by purchase;b.c.1768; fr SMC by purchase","","","Spectaclemakers, fr 1789",L,y,"Math IM, Phil IM, Optical IM, Optician",""
30,BASS,George,"",w,1723,w,1768,"Master SMC 1747-1748, 1754-1758; d in or soon","after 1768; petitioner against Dollond's patent","","","Spectaclemakers, fr 1716",L,y,"Optical IM, supplied lenses to the trade",""
31,COURT,William,"",w,1690,w,1695,"","","","",u,L,y,"Book S, Math IS",""
32,BAYLEY,"","",w,1660,w,1671,"","","","",u,L,y,Lens Grinder,""
33,BAYLEY,James,"",w,1790,w,1790,"","","","",u,L,y,Phil IM,""
34,BECK,George,"",w,1780,a,1820,"","","","",n,"0",y,"Inventor of surveying sextant, pat.1780",""
35,BELL,William,"",w,1771,w,1803,"","","","",n,D,y,"Optician, Land Surveyor, Engraver",""
36,HANDFORD,Thomas,"HANFORD, HANDFIELD",w,1668,w,1695,"Master SMC 1679-1681, 1690-1692, last appearance",1698,"","",Spectaclemakers,L,y,Spec M,""
37,BENNETT,John (I),BENNET,w,1735,d,1770,"R.apt Dukes of Gloucester & Cumberland;",petitioner against Dolland's patent 1764,"","","Stationers, fr 1731",L,y,"Math IM, Phil IM, Optical IM",""
38,BETTALLY,Christopher,"BETALLY, BETTALY, BETALLI,",w,1787,w,1797,Specialised in banjo barometers,"","","",u,L-EM,y,"Baro M, Phil IM",""
39,BISHOP,Samuel,"",w,1790,w,1790,"","","","","Clockmakers, fr 1781",L,y,Watch M,""
