membership_id,entry,entry_date_1,entry_date_2,uncertain,misc_codes,guild_id,maker_id,entry_date_1_certainty,entry_date_2_certainty
1,"",,,,"",49,3,"",""
2,"",,,,"",49,5,"",""
3,"",,,,"",29,10,"",""
4,"",,,,"",49,12,"",""
5,"",,,,"",9,17,"",""
6,"",,,,"",29,17,"",""
7,"",,,,"",9,20,"",""
8,"",,,,"",35,20,"",""
9,"",,,,"",49,21,"",""
10,"",,,,"",35,23,"",""
11,"",,,,"",39,24,"",""
12,"",,,,"",49,29,"",""
13,"",,,,"",49,30,"",""
14,"",,,,"",49,36,"",""
15,"",,,,"",50,37,"",""
16,"",,,,"",9,39,"",""
17,"",,,,"",9,45,"",""
18,"",,,,"",35,45,"",""
19,"",,,,"",49,47,"",""
20,"",,,,"",35,49,"",""
21,"",,,,"",49,50,"",""
22,"",,,,"",50,56,"",""
23,"",,,,"",50,63,"",""
24,"",,,,"",29,71,"",""
25,"",,,,"",50,74,"",""
26,"",,,,"",40,76,"",""
27,"",,,,"",29,87,"",""
28,"",,,,"",50,91,"",""
29,"",,,,"",50,94,"",""
30,"",,,,"",35,97,"",""
31,"",,,,"",29,99,"",""
32,"",,,,"",9,106,"",""
33,"",,,,"",29,106,"",""
34,"",,,,"",9,108,"",""
35,"",,,,"",35,110,"",""
36,"",,,,"",50,111,"",""
37,"",,,,"",9,115,"",""
38,"",,,,"",35,115,"",""
39,"",,,,"",9,116,"",""
40,"",,,,"",35,124,"",""
41,"",,,,"",29,126,"",""
42,"",,,,"",50,127,"",""
43,"",,,,"",57,127,"",""
44,"",,,,"",57,129,"",""
45,"",,,,"",9,135,"",""
46,"",,,,"",9,140,"",""
47,"",,,,"",40,140,"",""
48,"",,,,"",49,142,"",""
49,"",,,,"",9,144,"",""
50,"",,,,"",9,145,"",""
51,"",,,,"",9,146,"",""
52,"",,,,"",50,146,"",""
53,"",,,,"",49,147,"",""
54,"",,,,"",55,147,"",""
55,"",,,,"",49,151,"",""
56,"",,,,"",44,155,"",""
57,"",,,,"",9,156,"",""
58,"",,,,"",9,157,"",""
