maker_id,relation_code,relation_description,assigned_name,relation_id,relation_type_id,relation_type_meta_id,target_maker_id
2305,14,See also,TREE James (II)*,7574,22,,5468
2306,7,(II) Partnership,SIMMS James (III)*1860 & SIMMS William (III)* 1871,7575,36,,9291
2306,7,(I) Partnership,"TROUGHTON Edward (I)* 1826, SIMMS William (II)* 1835",7576,36,,826
2306,11,Employed,YEATES Andrew*,7577,41,,6016
2306,12,Succeeded by, TROUGHTON & SIMMS LTD*,7578,33,,
2306,13,Took over from,TROUGHTON Edward (I)*,7579,38,,826
2306,14,See also,SIMMS William (II)*,7580,22,,2266
2306,14,See also,TROUGHTON Edward (I)*,7581,22,,826
2306,15,Associated with,"DONKIN & Co* Bryan, who made castings",7582,42,,
2306,15,Associated with,FAYRER James(I)* who supplied parts,7583,42,,825
2306,15,Associated with,GREEN William* who supplied pantographs,7584,42,,9814
2306,15,Associated with,"MAUDSLAY, FIELD* & Co. who made castings",7585,42,,
2306,15,Associated with,"MAUDSLAY, SONS & FIELD* who made castings",7586,42,,
2306,15,Associated with,RANSOMES & MAY* who made castings,7587,42,,
2307,13,Took over from,TRUMAN Thomas*,7588,38,,1017
2307,16,Same premises,TRUMAN Edward*,7589,44,,3243
2308,14,See also,TURNER John (II)*,7590,22,,1018
2310,13,Took over from,TUSTIAN Thomas*,7591,38,,1571
2311,14,See also,TURNER John (I)*,7592,22,,2308
2312,2,Son of,"WALKER William, biscuit baker, d, of St George's in the East, London",7593,19,,
2312,8,Apprenticed to,"COOK William George, MC, 1818",7594,35,,
2312,9,Had apprentice,ALDER William David 1846,7595,23,,
2312,9,Had apprentice,BALDWIN William Richard 1847,7596,23,,
2312,9,Had apprentice,BASTER Thomas 1845,7597,23,,6166
2313,15,Supplier & creditor,HARRIS William (III)* - as creditor when Harris went bankrupt in 1830,7598,48,,5428
2314,14,See also,WALTER Benjamin* for whom `R.WALTER' may be a directory error,7599,22,,
2316,14,See also,WATSON John (II)*,7600,22,,4043
2319,14,See also,WEEDEN Charles Fox*,7601,22,,5632
2319,14,See also,WEEDEN Daniel*,7602,22,,5633
2319,14,See also,WEEDON John M.*,7603,22,,2320
2319,14,See also,WEEDON William J.*,7604,22,,
2320,14,See also,WEEDEN Charles Fox*,7605,22,,5632
2320,14,See also,WEEDEN Daniel*,7606,22,,5633
2320,14,See also,WEEDON John*,7607,22,,2319
2320,14,See also,WEEDON William J.*,7608,22,,
2321,1,Father of,WEEDEN Michael*,7609,30,,3531
2321,2,Son of,WEEDEN Daniel* optical turner,7610,19,,
2321,3,Brother of,WEEDEN Charles Fox*,7611,37,,5632
2321,8,Apprenticed to,"LINDSEY Joseph, carpenter, 1790",7612,35,,
2321,9,Had apprentice,BECK William Arthur 1825,7613,23,,
2321,9,Had apprentice,GUNSTON Michael 1825,7614,23,,4075
2321,9,Had apprentice,KIMBELL James 1844,7615,23,,
2321,9,Had apprentice,SEELING Joseph* 1817,7616,23,,4058
2321,9,Had apprentice,WHITBREAD William* 1818,7617,23,,4057
2321,12,Succeeded by,WEEDEN Michael*,7618,33,,3531
2321,14,See also,WEEDON John*,7619,22,,2319
2321,14,See also,WEEDON John M*,7620,22,,2320
2321,15,Supplier & creditor of,HARRIS William (II)* (creditor when Harris went bankrupt in 1830),7621,48,,4600
2322,13,Took over from,WELLINGTON & SON Mary*,7622,38,,2323
2322,14,See also,WELLINGTON Alexander*,7623,22,,325
2323,12,Succeeded by,WELLINGTON Mary*,7624,33,,2322
2323,13,Took over from,WELLINGTON Alexander*,7625,38,,325
2324,8,Apprenticed to,WELLINGTON Alexander* 1786,7626,35,,325
2326,1,Father of,WEST Francis Linsell*,7627,30,,5156
2326,1,Father of,WEST Henry,7628,30,,1493
2326,1,Father of,WEST John G,7629,30,,8381
2326,2,Son of,"WEST John, gentleman, Fetter Lane, London",7630,19,,
2326,8,Apprenticed to,WEST Charles Robert* 1806,7631,35,,471
2326,9,Had apprentice,"WEST Francis Linsell*, his son, 1835",7632,23,,5156
2326,9,Had apprentice,"WEST Henry, his son,1840",7633,23,,1493
2326,9,Had apprentice,"WEST John George, his son, 1833 (fr 1851)",7634,23,,8381
2326,12,Succeeded by,WEST & CO. Francis,7635,33,,8175
2326,13,Took over from,ADAMS [unverified claim],7636,38,,
10686,12,Succeeded by,MUDFORD Francis John*,21172,33,,
10680,12,Succeeded by,FRODSHAM LTD G. E.,21166,33,,
10681,14,See also,NELSON Thomas*,21167,22,,
10687,11,Employed,MORRIS Edwin James (as secretary),21173,41,,
10682,14,See also,PELLATT & CO. A.*,21169,22,,
10683,11,Employed,WILSON J. (as manager),21170,41,,
10688,11,Employed,PHILLIPS Henry (as secretary),21174,41,,
10684,14,See also,ABBEY Alfred*,21171,22,,
10691,7,Partnership,FRODSHAM & SON John*,21179,36,,
8,6,Related to,PATERSON James*,32,17,,709
12,6,Nephew of,"ANDERTON Thomas, Vintner of Westminster, London",57,18,,
10692,8,Apprenticed to,"FRODSHAM John (I)* his father, 13 Dec 1832",21186,35,,
10694,14,See also,McINNES Thomas S.*,21192,22,,
10693,18,Owned,PARKINSON & FRODSHAM* (from 1912),21191,,,
10695,1,Father of,PENLINGTON Septimus (b c. 1853/4),21195,30,,
10696,14,See also,PENLINGTON Thomas (II)*,21198,22,,
10697,14,See also,BATTY & SONS William*,21200,22,,
10698,16,Same premises as, LEVERSON BROTHERS & CO.*,21201,44,,
10699,14,See also,EAGLE STEAM GAUGE & FITTING CO.*,21202,22,,
10701,1,Father of,WEBSTER Ruby b 1880,21206,30,,
10702,13,Took over from,BUTTERWORTH BROTHERS*,21207,38,,
10705,16,Same premises as,LUNETTERIE SPÉCIALE*,21208,44,,
10706,11,Employed,"OCKENDEN James, as manager",21209,41,,
