maker_id,sources_key,manuscripts,directories,other
8624,,,PO,ATG 8 Jan 2000 p.14; Banfield (1991) p.218; ATG 6 Nov 1999 p.27
10572,,"TNA: Census 1881, RG11/291, f. 47 p. 13-14 sch. 70;",PO,
10573,,"TNA: Cs 1881, RG11/146, f. 26-27 p. 46-7 sch. 208;",PO,
10574,,,PO,
10575,,,PO,
10576,,,,Wh: inst (Wh. 4521)
10577,,,,Brown O (1986) no. 407
10578,,,PO,
10579,,,,ATG 3 Dec 2005 p.69 (advertisement for Dickins Auctioneers Ltd sale 2-3 Dec 2005 lot 760)
10580,,,,"ATG 3 Dec 2005 p.69 (advertisement for Dickins Auctioneers Ltd, sale 2-3 Dec. 2005 lot 772)"
10581,,,Pg;,Vic Burness: inst
10582,,GL: SMC 5213/1,,
8262,,"GRO: Indexes of Deaths, 1902; TNA: Cs 1881, RG11/5070, fol. 4, p.1, sch 2",Chs; M & C; K; Rd; WD; Wln;,"MSEN: inst; ChrSK (Maritine) 23 Oct 1987 lot 314; MHS: inst (s); Calvert (1971) p.46; Holbrook (1992) p.104, 120; Randier (1976) p.208; Mellors & Kirk, 22-23 Sept 2005, lot 990; LGaz, 8 July 1898 p. 4155"
9929,,,Wh;,"Morrison-Low A (2007) p.125; NMS: octant, ref. no. T.1867.3"
9930,,,PO,
9931,,,PO; Pg,
9932,,,PO,
9933,,,,NMM: copy of TCd (Navigation Dept)
9934,,,PO,
9935,,,,Pat. Specification no. 8328 of 1896 (AJ)
9936,,,,"Pat. Specification, no. 6475 of 1896"
9937,,,PO,
9938,,,PO,
9939,,,PO,
9940,,,PO,
9941,,,PO,
9942,,,PO,
9943,,,PO,
9944,,,PO,
9945,,,PO,
9946,,,PO,
9948,,,PO,
9949,,"TNA: PRO, Cs 1861, RG9/331, fol. 180, p. 9, sch. 43; Cs 1871, RG10/660, fol. 55, p. 46, sch. 274;",PO,
9950,,,PO;,Britten (1982) p.438
9951,,,PO;,"Rates of Chronometers on Trial at ROG, 1869; Britten (1982) p.449"
9952,,,PO;,Loomes (1976); Britten (1982) p.476
9953,,,PO,
9954,,CUL: RGO 1143 fol.2-10;,Pg; PO;,Britten (1982) p.474
9955,,,,Britten (1982) p.423; Fisher S (2001) p.83-84
9956,,,PO,
9957,,,PO,
9958,,,PO,
9959,,,PO,
9960,,,PO,
9961,,,PO,
9962,,,PO,
9963,,,PO,
9964,,,PO,
9965,,,PO,
9966,,,PO,
9967,,,PO,
9968,,,PO,
9969,,,PO,
9970,,,Col p.110; PO,
9971,,,PO;,Britten (1982) p.569
9972,,,Col p.104; PO;,Britten (1982) p.586
9973,,,PO,
9974,,,PO,
9975,,,PO,
9976,,,Sl (1855);,"Rates of Chronometers on Trial, 1846-86"
9977,,,PO;,"Rates of Chronometers on Trial, 1847-49"
9978,,,PO; Col p.109;,"Rates of Chronometers on Trial, 1858"
9979,,,"Col p.25, 98, 103; PO;","Britten (1982) p.508;  Rates of Chronometers on Trial, 1859-87"
9980,,,,"Rates of Chronometers on Trial, 1860-72."
