town_location_id,geom,town
1,"{""type"":""Point"",""coordinates"":[-0.1037671,51.5115854]}",Blackfriars
2,"{""type"":""Point"",""coordinates"":[0.3198453,51.692046]}",Blackmore
3,"{""type"":""Point"",""coordinates"":[-3.0564845,53.8182212]}",Blackpool
4,"{""type"":""Point"",""coordinates"":[4.8936041,52.3727598]}",Amsterdam
5,"{""type"":""Point"",""coordinates"":[-3.2607383,54.9881816]}",Annan
6,"{""type"":""Point"",""coordinates"":[-1.5883874,53.7976907]}",Armley
7,"{""type"":""Point"",""coordinates"":[-1.4712148,52.7471344]}",Ashby-de-la-Zouch
8,"{""type"":""Point"",""coordinates"":[-2.0937689,53.4911289]}",Ashton under Lyne
9,"{""type"":""Point"",""coordinates"":[-2.0811403,54.3149081]}",Askrigg
10,"{""type"":""Point"",""coordinates"":[-1.5433954,52.5772439]}",Atherstone
11,"{""type"":""Point"",""coordinates"":[-2.001098094,51.43889085]}",Calne
12,"{""type"":""Point"",""coordinates"":[-3.2328277,56.2920848]}",Auchtermuchty
13,"{""type"":""Point"",""coordinates"":[-0.7460981,51.3392845]}",Camberley
14,"{""type"":""Point"",""coordinates"":[-1.479975334,51.207716827]}",Andover
15,"{""type"":""Point"",""coordinates"":[-1.5099726,55.1270903]}",Blyth
16,"{""type"":""Point"",""coordinates"":[-0.8130383,51.8161412]}",Aylesbury
17,"{""type"":""Point"",""coordinates"":[-3.0425569,53.7915518]}",Bamton
18,"{""type"":""Point"",""coordinates"":[-4.7243205,50.470725]}",Bodmin
19,"{""type"":""Point"",""coordinates"":[-4.3115907,51.8591257]}",Carmarthen
20,"{""type"":""Point"",""coordinates"":[-2.3596963,51.3813864]}",Bath
21,"{""type"":""Point"",""coordinates"":[-3.6414828,55.9009224]}",Bathgate
22,"{""type"":""Point"",""coordinates"":[-1.340216626,52.06176405]}",Banbury
23,"{""type"":""Point"",""coordinates"":[-3.229386003,54.127265813]}",Barrow
24,"{""type"":""Point"",""coordinates"":[-2.518847287,57.666033511]}",Banff
25,"{""type"":""Point"",""coordinates"":[-1.6060486,52.2454247]}",Barford
26,"{""type"":""Point"",""coordinates"":[0.0804245,51.5389922]}",Barking
27,"{""type"":""Point"",""coordinates"":[-1.918158118,54.54310225]}",Barnard Castle
28,"{""type"":""Point"",""coordinates"":[-0.2002261,51.65309]}",Barnet
29,"{""type"":""Point"",""coordinates"":[-1.8767712,50.7194784]}",Bournemouth
30,"{""type"":""Point"",""coordinates"":[-1.4827755,53.5527719]}",Barnsley
31,"{""type"":""Point"",""coordinates"":[-3.2289494,54.1113351]}",Barrow in Furness
33,"{""type"":""Point"",""coordinates"":[-0.0303183,51.4070938]}",Beckenham
34,"{""type"":""Point"",""coordinates"":[-3.266909543,51.39789555]}",Barry Dock
35,"{""type"":""Point"",""coordinates"":[-1.4166408,52.6537167]}",Barton in the Beans
36,"{""type"":""Point"",""coordinates"":[-0.4675041,52.1363806]}",Bedford
37,"{""type"":""Point"",""coordinates"":[-1.0861976,51.262826]}",Basingstoke
38,"{""type"":""Point"",""coordinates"":[-3.1791934,51.4816546]}",Cardiff
39,"{""type"":""Point"",""coordinates"":[-5.2990347,50.2138828]}",Camborne
40,"{""type"":""Point"",""coordinates"":[-0.1610857,51.3657883]}",Carshalton  
41,"{""type"":""Point"",""coordinates"":[-3.9305352,54.9401001]}",Castle Douglas
42,"{""type"":""Point"",""coordinates"":[1.0802533,51.2800275]}",Canterbury
43,"{""type"":""Point"",""coordinates"":[-0.1400561,50.8214626]}",Brighton
