ID,Preferred_Label,Alternative_Label 1,Alternative_Label 2,Alternative_Label 3,Alternative_Label 4,Alternative_Label 5,Alternative_Label 6,Broader 1,Broader1_ID,Broader 2,Broader2_ID,Broader 3,Broader3_ID,Broader 4,Broader4_ID,Narrower,Related_1,Related1_ID,Related_2,Related2_ID,Related_3,Related3_ID,Related_4,Related4_ID,Related_5,Related5_ID,Related_6,Related6_ID,Related_7,Related7_ID,Related_8,Related8_ID,Wikidata_URI,AAT_URI,Additional_Information
1,accessory,,,,,,,scientific apparatus,804,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300251645,
2,acoustics apparatus,,,,,,,scientific apparatus,804,,,,,,,,,,,,,,,,,,,,,,,,,,
3,acoustics instrument,,,,,,,acoustics apparatus,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,actinometer,,,,,,,measuring instrument,416,meteorological instrument,424,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q403898,http://vocab.getty.edu/page/aat/300196230,
5,air flow meter,,,,,,,measuring instrument,416,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16002172,http://vocab.getty.edu/page/aat/300195761,
6,air fountain,,,,,,,pneumatic instrument,540,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air gun,,,,,,,gun,310,pneumatic instrument,540,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q193427,http://vocab.getty.edu/page/aat/300203836,
8,air pump,vacuum pump,,,,,,pneumatic instrument,540,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q636009,,
9,alcoholometer,,,,,,,hydrometer,334,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q843834,http://vocab.getty.edu/page/aat/300196266,
10,"alcoholometer, Field's",,,,,,,alcoholometer,9,,,,,,,,,,,,,,,,,,,,,,,,,,
11,alidade,,,,,,,surveying instrument,694,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1126263,http://vocab.getty.edu/page/aat/300420032,
12,almucantar staff,,,,,,,backstaff,31,,,,,,,,,,,,,,,,,,,,,,,,,,
13,altimeter,,,,,,,surveying instrument,694,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q216197,http://vocab.getty.edu/page/aat/300195768,
14,ammeter,,,,,,,electrical apparatus,219,measuring instrument,416,,,,,,galvanometer,266,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q166046,http://vocab.getty.edu/page/aat/300196271,"""galvanometer"" required for current lower than 10^-6 ampere"
15,analemma,,,,,,,"diagram, astronomical",200,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q484737,,
16,anamorphoscope,,,,,,,optical apparatus,490,,,,,,,,mirror,454,,,,,,,,,,,,,,,,,uses curved mirrors to correct image
17,anemometer,wind gauge,,,,,,meteorological instrument,424,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q175029,http://vocab.getty.edu/page/aat/300195772,
18,"anemometer, Biram's",,,,,,,anemometer,17,,,,,,,,,,,,,,,,,,,,,,,,,,
19,architect's scale,,,,,,,rule,593,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q8064816,http://vocab.getty.edu/page/aat/300022528,
20,armillary sphere,armillary dial,,,,,,"model, astronomical",463,sundial,669,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q328720,http://vocab.getty.edu/page/aat/300226858,
21,artificial horizon,,,,,,,navigational equipment,478,astronomical equipment,25,surveying instrument,694,,,,quadrant,572,"astrolabe, mariner's",I-24,cross-staff,188,backstaff,31,octant,483,sextant,I-615,pendulum,509,gyroscope,319,,http://vocab.getty.edu/page/aat/300420371,"Not matched to Wikidata or AAT because these terms refer specifically to its use in aircraft.



IoS: often attached to other instruments, including quadrant, mariner's astrolabe, cross-staff, back-staff, octant, sextant; some involved a pendulum or gyroscope"
22,astrograph,astrographic reflector,astrographic telescope,,,,,telescope,715,,,,,,,,,,,,,,,,,,,,,,,,,,
23,astrolabe,,,,,,,astronomical equipment,25,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q164992,http://vocab.getty.edu/page/aat/300195790,
24,"astrolabe, mariner's",,,,,,,astrolabe,23,,,,,,,,astrolabe,23,alidade,I-11,cross-staff,188,backstaff,31,,,,,,,,,,http://vocab.getty.edu/page/aat/300428566,"IoS: simplified version of astrolabe; incorporates alidade; superseded by cross-staff and back-staff, which in turn were superseded by Hadley's octant"
25,astronomical equipment,,,,,,,scientific apparatus,804,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300024497,
26,astroscope,,,,,,,optical instrument,492,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300420445,
27,Atwood machine,,,,,,,demonstration apparatus,196,mechanical apparatus,418,,,,,,weight,776,rule,I-593,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q758291,,"IoS: incorporated pendulum clock, rule, weights"
28,"Atwood machine, ribbon",,,,,,,Atwood machine,27,,,,,,,,,,,,,,,,,,,,,,,,,,
29,audio equipment,,,,,,,scientific apparatus,804,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15190726,http://vocab.getty.edu/page/aat/300257199,
30,azimuth circle,azimuth instrument,azimuth sight,,,,,navigational equipment,478,astronomical equipment,25,surveying instrument,694,,,,compass,152,telescope,I-715,theodolite,734,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300195796,"graduated circle used with e.g. compass, telescope or theodolite"
31,backstaff,,,,,,,astronomical equipment,25,navigational equipment,478,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3298443,http://vocab.getty.edu/page/aat/300411369,
32,balance,scales,,,,,,measuring instrument,416,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q134566,http://vocab.getty.edu/page/aat/300195805,
33,"balance, apothecary's",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"balance, assay",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300224845,
35,"balance, chemical",,,,,,,balance,32,,,,,,,,"balance, hydrostatic",39,,,,,,,,,,,,,,,,,IoS: possibly developed from hydrostatic balance
36,"balance, coin",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300195981,
37,"balance, gold",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"balance, gunner's",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"balance, hydrostatic",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"balance, induction",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"balance, letter",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300411347,
42,"balance, Marquois",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"balance, mathematical",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"balance, medical",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"balance, postal",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/aat/300430666,
46,"balance, precision",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"balance, spring",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q772032,http://vocab.getty.edu/page/aat/300203453,
48,"balance, yarn",,,,,,,balance,32,,,,,,,,,,,,,,,,,,,,,,,,,,
49,barograph,,,,,,,meteorological instrument,424,,,,,,,,barometer,50,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1146365,http://vocab.getty.edu/page/aat/300195809,IoS: sometimes incorporated into meteorographs; modified from barometers
50,barometer,baroscope,,,,,,meteorological instrument,424,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q79757,http://vocab.getty.edu/page/aat/300195808,
51,"barometer, aneroid",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q11284463,http://vocab.getty.edu/page/aat/300195781,
52,"barometer, angle",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"barometer, coastal",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"barometer, diagonal",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"barometer, farmer's",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"barometer, Fitzroy",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"barometer, Fortin",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"barometer, marine",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"barometer, mercury",,,,,,,barometer,50,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q107194564,http://vocab.getty.edu/page/aat/300198985,
